"V1","V2"
"Date of report","2022-04-29 11:37:52"
"Software version","0.8"
"Nb of tested samples","3"
"Names of tested samples","ZH2005406k1 ZH1609094r1 ZH1712576ms2"
"Control population filename","Control_population.csv.gz"
"Nb of tested cpg probes","522"
"Nb of tested regions","27"
"Mean size of tested regions","1622"
"Min|Max size of tested regions","11-5047"
"Mean probe count per tested region","19.33333"
"Min|Max probe count per tested region","1-61"
"Nb of tested control cpg probes","477"
"Nb of control regions","25"
"Mean size of control regions","1594.32"
"Min|Max size of control regions","11-5047"
"Mean probe count per control region","19.08"
"Min|Max probe count per control region","1-61"
